,s11,s12,s13
nulo,291.2750112159286,1914.447877691,4362.611553048
lbdle2.+facts,209.3332963501429,389.8535513876,-1.0
lbdle2.-facts,213.6953518731429,498.30677456859996,-1.0
lbdle3.+facts,168.88220913071427,370.9365472318,-1.0
lbdle3.-facts,173.20732527114288,335.0526215556,-1.0
lbdle4.+facts,165.00402539114287,281.72583322540004,-1.0
lbdle4.-facts,158.90196217814287,328.6166752336,-1.0
lbdle5.+facts,150.30387038842858,284.227658844,1384.8810163971998
lbdle5.-facts,168.16621019153573,364.63334660540005,-1.0
lbdle6.+facts,177.23871103357143,330.7392755508,-1.0
lbdle6.-facts,162.74721624174285,315.00382323260004,-1.0
onlyfacts,290.9085064104285,935.7886790276,4321.761974384
perc=0.01.+facts.+binary.+active,247.59227051050001,501.4921175478,-1.0
perc=0.01.+facts.+binary.-active,237.9510137862857,506.4746750353999,-1.0
perc=0.01.+facts.-binary.+active,258.51321680207144,526.1415616035999,-1.0
perc=0.01.+facts.-binary.-active,222.74827088621427,546.3752857684001,-1.0
perc=0.01.-facts.+binary.+active,264.5285993473571,732.3285270212,-1.0
perc=0.01.-facts.+binary.-active,285.314073239,1910.4363386632,-1.0
perc=0.01.-facts.-binary.+active,351.68828494221424,1212.7529435636,-1.0
perc=0.01.-facts.-binary.-active,346.0429814543571,862.1653463842,-1.0
perc=0.05.+facts.+binary.+active,237.59125130514283,620.5520966053999,-1.0
perc=0.05.+facts.+binary.-active,267.7887869391428,690.8886310099999,-1.0
perc=0.05.+facts.-binary.+active,259.0961859566429,617.5505702018,-1.0
perc=0.05.+facts.-binary.-active,262.45787899835716,555.1313739778,-1.0
perc=0.05.-facts.+binary.+active,316.9929070132143,798.7454683771999,-1.0
perc=0.05.-facts.+binary.-active,343.80831331857144,1381.0226360796,-1.0
perc=0.05.-facts.-binary.+active,350.41752178328574,1050.7291905404,-1.0
perc=0.05.-facts.-binary.-active,326.9115988525715,1085.5982339372,-1.0
perc=0.1.+facts.+binary.+active,306.14583139757144,1057.0377506252,-1.0
perc=0.1.+facts.+binary.-active,312.14162044871426,825.668043232,-1.0
perc=0.1.+facts.-binary.+active,322.2625499452857,735.5274342060001,-1.0
perc=0.1.+facts.-binary.-active,302.7269482613571,696.0987195492,-1.0
perc=0.1.-facts.+binary.+active,306.9481197936429,1405.6143658166,-1.0
perc=0.1.-facts.+binary.-active,282.74417655807144,802.4908292772,-1.0
perc=0.1.-facts.-binary.+active,388.6725907666428,856.2151204109999,-1.0
perc=0.1.-facts.-binary.-active,373.1262076923572,965.0917811876001,-1.0
perc=0.15.+facts.+binary.+active,328.0692788192143,1448.3855279916,-1.0
perc=0.15.+facts.+binary.-active,374.93540571407135,1076.3205334181998,-1.0
perc=0.15.+facts.-binary.+active,386.37647570885713,963.8282360077999,-1.0
perc=0.15.+facts.-binary.-active,386.92630038942855,1420.3320559986,-1.0
perc=0.15.-facts.+binary.+active,344.807652814,1328.1217531682,-1.0
perc=0.15.-facts.+binary.-active,406.6849836963571,881.6889731891999,-1.0
perc=0.15.-facts.-binary.+active,360.29285105621426,991.3090031636,-1.0
perc=0.15.-facts.-binary.-active,372.7255137476428,1695.5875706202,-1.0
perc=0.2.+facts.+binary.+active,400.7064367872857,866.0314701558,-1.0
perc=0.2.+facts.+binary.-active,321.81318402307136,930.4463592526001,-1.0
perc=0.2.+facts.-binary.+active,378.38127476828566,1096.981037379,-1.0
perc=0.2.+facts.-binary.-active,332.9450118030714,1020.4161639690001,-1.0
perc=0.2.-facts.+binary.+active,364.0897123303571,1400.3214297778,-1.0
perc=0.2.-facts.+binary.-active,398.4348380225,1130.6445296287998,-1.0
perc=0.2.-facts.-binary.+active,475.0785509007857,1333.8029402256002,-1.0
perc=0.2.-facts.-binary.-active,400.23378396035724,1794.419277814,-1.0
perc=1.0.+facts.+binary.+active,1087.7290139187855,2676.76785059,-1.0
perc=1.0.-facts.+binary.+active,1139.2884088925,2848.50111213,-1.0
sizele2.+facts,231.91780684671429,546.6638675212,-1.0
sizele2.-facts,230.98242352692856,575.8681220056,-1.0
sizele3.+facts,185.4306015629286,354.8146860124,-1.0
sizele3.-facts,178.28244822357144,494.2726936342,-1.0
sizele4.+facts,184.96609004902857,306.73414139740004,-1.0
sizele4.-facts,169.04310091907146,454.4634536266,-1.0
sizele5.+facts,174.8599435261,311.55287742620004,-1.0
sizele5.-facts,171.86681233138572,266.6756437304,645.4385495186
sizele6.+facts,160.58439179835713,377.0023191928,-1.0
sizele6.-facts,159.8178944247143,336.192641783,-1.0
