nulo,367.733021975,757.435138941,1991.50228,2738.54452181,3272.77418089,1825.5978287231999
lbdle2.+facts,353.012016058,388.770119905,552.23639679,683.28532505,858.921658993,567.2451033591999
lbdle2.-facts,449.089720964,798.86833787,1355.07756305,2497.26488614,6231.81146979,2266.4223955628
lbdle3.+facts,379.15376091,684.845949888,1279.03229403,1542.92952609,2953.33662391,1367.8596309656
lbdle3.-facts,561.714487076,828.808526993,1011.30151486,1077.18579888,1893.63957906,1074.5299813738
lbdle4.+facts,244.813925028,329.755802155,529.918362141,671.787945986,679.798567057,491.21492047340007
lbdle4.-facts,263.277196169,406.962863922,764.317494869,1741.72851896,2527.31444001,1140.7201027859999
lbdle5.+facts,357.553668022,364.070603848,549.86350584,2038.40802598,2288.36786699,1119.6527341360002
lbdle5.-facts,434.315834045,506.030230999,654.169713974,838.70795393,976.879063129,682.0205592154
lbdle6.+facts,190.998272181,515.918874979,976.564826012,982.728312016,2798.09789801,1092.8616366396
lbdle6.-facts,388.810789108,472.497097969,574.302632809,599.103668928,1432.98285699,693.5394091608
onlyfacts,207.613626003,437.612622023,446.414635181,538.09305501,1198.22972918,565.5927334794
perc=0.01.+facts.+binary.+active,262.3923769,472.853286982,478.73714304,486.918205976,683.40250206,476.8607029916
perc=0.01.+facts.+binary.-active,308.415434837,488.491240978,601.658003092,796.445446968,1102.19261909,659.4405489930001
perc=0.01.+facts.-binary.+active,539.705974102,854.853742838,923.139514923,1604.99670005,6945.06091785,2173.5513699526
perc=0.01.+facts.-binary.-active,168.667470932,426.472270012,688.531558037,962.508841038,1189.91455293,687.2189385897999
perc=0.01.-facts.+binary.+active,181.381464958,478.370512009,636.963699102,1004.83531308,1036.31425095,667.5730480198001
perc=0.01.-facts.+binary.-active,383.947538853,466.71534586,560.292439938,1043.91047406,1387.8980279,768.5527653222
perc=0.01.-facts.-binary.+active,599.016774893,727.119077921,1589.34647107,1803.95855594,4433.47666693,1830.5835093508
perc=0.01.-facts.-binary.-active,296.535959005,644.675007105,729.900645018,2059.25936818,3889.52400804,1523.9789974696
sizele2.+facts,171.767358065,1022.61681795,1417.98265004,1438.85793805,1662.79227495,1142.803407811
sizele2.-facts,141.48545289,1327.36169386,1407.22731996,3216.86390018,4575.28285789,2133.644244956
sizele3.+facts,324.546586037,648.686078072,731.612689018,1115.04074693,2853.48469687,1134.6741593854
sizele3.-facts,170.011710882,901.343874931,1371.32617903,1647.36751509,3214.53101611,1460.9160592085998
sizele4.+facts,512.722504854,673.598227978,953.167929888,1024.64952016,1413.3469429,915.4970251560001
sizele4.-facts,293.125651836,299.300287962,622.207412004,983.133137941,1361.77369809,711.9080375666
sizele5.+facts,377.850996971,572.123125076,598.543138981,853.92667985,1264.86500406,733.4617889876
sizele5.-facts,326.984054804,367.322408199,373.563857079,408.034745932,476.471351147,390.4752834322
sizele6.+facts,232.574689865,342.007401943,522.436516047,678.11440897,1048.29677916,564.685959197
sizele6.-facts,233.360378981,263.297785997,492.6924541,744.809880972,853.928209066,517.6177418231999
