,s08,s09,s10
nulo,60.46085299764286,407.336430947,5046.83589621
lbdle2.+facts,88.73457755361429,597.6475671530001,-1.0
lbdle2.-facts,75.54871869088572,570.3795854648333,-1.0
lbdle3.+facts,72.99232901845714,525.3319401741667,-1.0
lbdle3.-facts,80.54255185802857,453.02292092650003,-1.0
lbdle4.+facts,94.40137461264284,631.1821427743333,-1.0
lbdle4.-facts,71.68269443512857,428.27179880933335,4493.2558558
lbdle5.+facts,88.16999871385714,448.55010366450006,-1.0
lbdle5.-facts,71.17448544501428,529.8287830353333,-1.0
lbdle6.+facts,79.12945410181429,457.2295858461667,-1.0
lbdle6.-facts,73.46201757022858,473.9548150301667,-1.0
onlyfacts,70.63599995204287,443.19376083199995,3213.5893506059997
perc=0.01.+facts.+binary.+active,110.15263288367143,417.87781576333333,-1.0
perc=0.01.+facts.+binary.-active,78.53034186365714,513.9296002388334,-1.0
perc=0.01.+facts.-binary.+active,94.06331174725713,493.7744456131666,-1.0
perc=0.01.+facts.-binary.-active,74.24282431602857,441.22399453316666,-1.0
perc=0.01.-facts.+binary.+active,76.48117773874286,407.4511176743333,-1.0
perc=0.01.-facts.+binary.-active,73.50716652189999,433.8569806415,-1.0
perc=0.01.-facts.-binary.+active,81.84503681321428,467.9014929136667,-1.0
perc=0.01.-facts.-binary.-active,68.86066290309999,387.436047832,5225.93484931
perc=0.05.+facts.+binary.+active,110.80264759057142,535.1615898211667,-1.0
perc=0.05.+facts.+binary.-active,98.59973869994285,522.9584143161666,-1.0
perc=0.05.+facts.-binary.+active,98.29866841859999,483.59105436000004,-1.0
perc=0.05.+facts.-binary.-active,75.48755414144286,539.7523428996666,-1.0
perc=0.05.-facts.+binary.+active,89.39949287691427,448.0274005333333,-1.0
perc=0.05.-facts.+binary.-active,74.17143603734284,439.722150008,-1.0
perc=0.05.-facts.-binary.+active,83.46869012289999,499.5148341256666,-1.0
perc=0.05.-facts.-binary.-active,81.1154011999,407.1785581906666,4697.586242390001
perc=0.1.+facts.+binary.+active,90.13096400667143,523.7157990933333,-1.0
perc=0.1.+facts.+binary.-active,112.1060673849,632.7946668466666,-1.0
perc=0.1.+facts.-binary.+active,104.75757721488571,564.7940880458333,-1.0
perc=0.1.+facts.-binary.-active,107.88469931062858,568.3762029806666,-1.0
perc=0.1.-facts.+binary.+active,89.39489279474287,486.6905225516666,-1.0
perc=0.1.-facts.+binary.-active,98.68139038764286,460.68826969466676,-1.0
perc=0.1.-facts.-binary.+active,87.28281644407143,489.9432046413333,-1.0
perc=0.1.-facts.-binary.-active,91.40938595361429,572.1484367449999,-1.0
perc=0.15.+facts.+binary.+active,101.62461328511428,659.433365504,-1.0
perc=0.15.+facts.+binary.-active,117.81290926247142,700.3304719923334,-1.0
perc=0.15.+facts.-binary.+active,92.88348398904284,563.4583105243333,-1.0
perc=0.15.+facts.-binary.-active,104.3007368362,660.3625790278334,-1.0
perc=0.15.-facts.+binary.+active,93.15556567065714,528.1649065415,-1.0
perc=0.15.-facts.+binary.-active,97.26267702238572,666.332790931,-1.0
perc=0.15.-facts.-binary.+active,99.36569908678572,561.5732514858333,-1.0
perc=0.15.-facts.-binary.-active,108.84926424715715,616.8007739786667,-1.0
perc=0.2.+facts.+binary.+active,126.76150447985715,667.8888876436666,-1.0
perc=0.2.+facts.+binary.-active,128.36250502728572,780.5826145015,-1.0
perc=0.2.+facts.-binary.+active,105.85637647762857,604.3706989291667,-1.0
perc=0.2.+facts.-binary.-active,124.0549316748286,623.8746389946666,-1.0
perc=0.2.-facts.+binary.+active,99.77585540498572,623.512109359,-1.0
perc=0.2.-facts.+binary.-active,113.69138155671429,652.5358926455,-1.0
perc=0.2.-facts.-binary.+active,96.94300998958572,634.4553526638332,-1.0
perc=0.2.-facts.-binary.-active,99.54306939684285,667.2032228311667,-1.0
perc=1.0.+facts.+binary.+active,227.6624400274286,2092.301667133333,-1.0
perc=1.0.-facts.+binary.+active,254.41941285128573,1661.78579688,-1.0
sizele2.+facts,77.11965332717143,545.8441306351666,-1.0
sizele2.-facts,74.9595007215,495.5317500431667,-1.0
sizele3.+facts,74.81332251004287,734.2216112213333,-1.0
sizele3.-facts,79.59723258015715,546.4748891195001,-1.0
sizele4.+facts,77.38603857585714,512.3449866375,-1.0
sizele4.-facts,83.62414353235715,439.8984834748333,4632.263529586
sizele5.+facts,76.60245401518571,637.8723340038333,-1.0
sizele5.-facts,76.61418420928571,699.3734897381668,-1.0
sizele6.+facts,69.54511894497142,565.7261648178334,-1.0
sizele6.-facts,76.06154128484286,464.16616332533334,-1.0
